subject,predicate,object
Burn injury,subset_includes_concept,Pediatric Terminology
Burn injury,subset_includes_concept,Pediatric Adverse Events Terminology
Burn injury,subset_includes_concept,FDA Center For Devices and Radiological Health Terminology
Burn injury,subset_includes_concept,Patient Problem Codes FDA CDRH
Burn injury,inverse_isa,Traumatic injury
Burn injury,inverse_isa,Examination of skin
Burn injury,inverse_isa,injuries or accidents
Burn injury,due_to,Myositis ossificans of forearm due to burn
Burn injury,due_to,Myositis ossificans of shoulder due to burn
Burn injury,due_to,Myositis ossificans of thigh due to burn
Burn injury,due_to,Myositis ossificans of hand due to burn
Burn injury,due_to,Myositis ossificans of ankle due to burn
Burn injury,due_to,Myositis ossificans of foot due to burn
Burn injury,due_to,Myositis ossificans of upper arm due to burn
Burn injury,due_to,Myositis ossificans of lower leg due to burn
Burn injury,due_to,Burn shock
Burn injury,due_to,Myositis ossificans associated with burns
Burn injury,has_focus,Education about burn
Burn injury,nichd_parent_of,Traumatic injury
Burn injury,mapped_from,"Burn of unspecified body region, unspecified degree"
Burn injury,mapped_from,Juvenile osteochondrosis of radius and ulna
Burn injury,mapped_from,Scalding injury
Burn injury,mapped_from,Osteochondrosis
Burn injury,associated_with,burn due to localized fire onboard watercraft
Burn injury,cdrh_parent_of,Traumatic injury
Burn injury,possibly_equivalent_to,Burns and scalds
Burn injury,possibly_equivalent_to,Burns (& [blisters] or [scalds])
Burn injury,has_associated_finding,History of burn
Burn injury,has_cdrh_parent,Thermal burn
Burn injury,has_cdrh_parent,Third degree burn
Burn injury,has_cdrh_parent,Bowel Burn
Burn injury,has_cdrh_parent,Radiation burn
Burn injury,has_cdrh_parent,Burn From Lead
Burn injury,has_cdrh_parent,Chemical Burns
Burn injury,has_cdrh_parent,Second degree burn
Burn injury,has_cdrh_parent,First degree burn
Burn injury,has_cdrh_parent,Corneal burn
Burn injury,has_member,Accidents and injuries (SMQ)
Burn injury,has_member,Physical & Psychosomatic Disorders (PsycINFO Subcluster Term)
Burn injury,classifies,Thermal burn
Burn injury,related_to,Wildfires
Burn injury,related_to,Electrical Injuries
Burn injury,related_to,Inhalation injury
Burn injury,related_to,Fire Safety
Burn injury,related_to,First Aid
Burn injury,use,Eye Burns
Burn injury,use,Chemical Burns
Burn injury,use,"Burns, Inhalation"
Burn injury,primary_mapped_from,"Burn of unspecified body region, unspecified degree"
Colicky Pain,inverse_isa,quality of abdominal pain
Abdominal Pain,subset_includes_concept,Patient Problem Codes FDA CDRH
Abdominal Pain,subset_includes_concept,Pediatric Terminology
Abdominal Pain,subset_includes_concept,FDA Center For Devices and Radiological Health Terminology
Abdominal Pain,subset_includes_concept,Pediatric Adverse Events Terminology
Abdominal Pain,inverse_isa,abdominal signs and symptoms
Abdominal Pain,inverse_isa,Pain
Abdominal Pain,inverse_isa,Abdominal symptom
Abdominal Pain,has_focus,observation for undiagnosed abdominal pain
Abdominal Pain,has_definitional_manifestation,Functional abdominal pain syndrome
Abdominal Pain,nichd_parent_of,Pain
Abdominal Pain,nichd_parent_of,"Signs and Symptoms, Digestive"
Abdominal Pain,evaluation_of,Abdominal pain:Find:Pt:^Patient:Ord:Reported.HIV-SSC
Abdominal Pain,mapped_from,Abdominal pain/cramps general
Abdominal Pain,mapped_from,Other and unspecified abdominal pain
Abdominal Pain,cdrh_parent_of,Pain
Abdominal Pain,has_manifestation,"COMPLEMENT HYPERACTIVATION, ANGIOPATHIC THROMBOSIS, AND PROTEIN-LOSING ENTEROPATHY"
Abdominal Pain,has_manifestation,Mitochondrial DNA Depletion Syndrome 1
Abdominal Pain,has_manifestation,Infundibulopelvic dysgenesis
Abdominal Pain,has_manifestation,MITOCHONDRIAL DNA DEPLETION SYNDROME 4B (MNGIE TYPE)
Abdominal Pain,has_manifestation,Inflammatory Bowel Disease 11
Abdominal Pain,has_manifestation,Hereditary Angioedema Type I
Abdominal Pain,has_manifestation,"ANEMIA, NONSPHEROCYTIC HEMOLYTIC, DUE TO G6PD DEFICIENCY"
Abdominal Pain,has_manifestation,PAROXYSMAL NOCTURNAL HEMOGLOBINURIA 2
Abdominal Pain,has_manifestation,Albinism with hemorrhagic diathesis and pigmented reticuloendothelial cells
Abdominal Pain,has_manifestation,"MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 8, WITH EXOCRINE DYSFUNCTION"
Abdominal Pain,has_manifestation,"HEMOCHROMATOSIS, TYPE 1"
Abdominal Pain,has_manifestation,"Familial Mediterranean Fever, Autosomal Dominant"
Abdominal Pain,has_manifestation,"NEUROBLASTOMA, SUSCEPTIBILITY TO"
Abdominal Pain,has_manifestation,"Lactose Intolerance, Adult Type"
Abdominal Pain,has_manifestation,Malonic aciduria
Abdominal Pain,has_manifestation,Familial Mediterranean Fever
Abdominal Pain,has_manifestation,Ovarian Hyperstimulation Syndrome
Abdominal Pain,has_manifestation,5-oxoprolinase deficiency
Abdominal Pain,has_manifestation,Acute intermittent porphyria
Abdominal Pain,has_manifestation,"alpha, alpha-Trehalase deficiency"
Abdominal Pain,has_manifestation,Crohn Disease
Abdominal Pain,has_manifestation,Cronkhite-Canada Syndrome
Abdominal Pain,has_manifestation,Primary hypomagnesemia (disorder)
Abdominal Pain,has_manifestation,Fabry Disease
Abdominal Pain,has_manifestation,Hereditary fructose intolerance syndrome
Abdominal Pain,has_manifestation,Hyperimmunoglobulinemia D
Abdominal Pain,has_manifestation,Sitosterolemia
Abdominal Pain,has_manifestation,Variegate Porphyria
Abdominal Pain,has_manifestation,Cyclical vomiting syndrome (disorder)
Abdominal Pain,has_manifestation,"Anemia, Sickle Cell"
Abdominal Pain,has_associated_finding,No abdominal pain
Abdominal Pain,has_member,Gastrointestinal nonspecific symptoms and therapeutic procedures (SMQ)
Abdominal Pain,has_member,"Gastrointestinal perforation, ulcer, haemorrhage, obstruction non-specific findings/procedures (SMQ)"
Abdominal Pain,has_member,Gastrointestinal ulceration (SMQ)
Abdominal Pain,has_member,Acute pancreatitis (SMQ)
Abdominal Pain,has_member,Retroperitoneal fibrosis (SMQ)
