subject,predicate,object
Burn injury,inverse_isa,extent of chemical burns
Burn injury,inverse_isa,burns color black
Burn injury,inverse_isa,burns color white
Burn injury,inverse_isa,burns color gray
Burn injury,inverse_isa,burns color red
Burn injury,inverse_isa,burn color pink
Burn injury,inverse_isa,burn color
Burn injury,inverse_isa,burns of both sides
Burn injury,inverse_isa,second or third degree burns covering >15% of body surface
Burn injury,inverse_isa,mixed burns
Burn injury,inverse_isa,reported burn by explosion of battery acid
Burn injury,inverse_isa,reported burn by explosion of fireworks
Burn injury,inverse_isa,reported burn by explosion of gunpowder
Burn injury,inverse_isa,reported burn by explosion of gasoline
Burn injury,inverse_isa,reported burn by explosion of propane
Burn injury,inverse_isa,reported burn by electrical explosion
Burn injury,inverse_isa,reported burn by explosion of high-power lines
Burn injury,inverse_isa,reported burn by explosion
Burn injury,inverse_isa,reported burn by explosion of electrical lightning
Burn injury,inverse_isa,reported burn by explosion of butane
Burn injury,inverse_isa,reported burn by explosion of kerosene
Burn injury,inverse_isa,reported burn by explosion of stove
Burn injury,inverse_isa,reported burn by explosion of hot water
Burn injury,inverse_isa,reported burn of tissue
Burn injury,inverse_isa,reported burn by chemical explosion
Burn injury,inverse_isa,reported burn by explosion of bomb
Burn injury,inverse_isa,third degree burns with deep necrosis of underlying tissues
Burn injury,inverse_isa,cause of burn
Burn injury,inverse_isa,burns with well demarcated borders
Burn injury,inverse_isa,burn with secondary Pseudomonas infection
Burn injury,inverse_isa,burns with poorly demarcated border
Burn injury,inverse_isa,burn with secondary proteus infection
Burn injury,inverse_isa,burns of right side
Burn injury,inverse_isa,Burn of ocular adnexa
Burn injury,inverse_isa,burns of left side
Burn injury,inverse_isa,burns of back including buttocks
Burn injury,inverse_isa,percent total body surface covered with burns
Burn injury,inverse_isa,"Burn of face, head AND/OR neck"
Burn injury,inverse_isa,Burn From Lead
Burn injury,inverse_isa,Incisional Burn
Burn injury,inverse_isa,Radiation burn
Burn injury,inverse_isa,extent of burns
Burn injury,inverse_isa,Bowel Burn
Burn injury,inverse_isa,Burn of periorbital region
Burn injury,inverse_isa,Chemical burns of eye
Burn injury,inverse_isa,Thermal burn
Burn injury,inverse_isa,Burn of ankle and foot
Burn injury,inverse_isa,Burn of digits of hand
Burn injury,inverse_isa,Third degree burn
Burn injury,inverse_isa,Burn of wrist(s) and hand(s)
Burn injury,inverse_isa,Burn of internal genitourinary organs
Burn injury,inverse_isa,Head burn
Burn injury,inverse_isa,Eyelid burn
Burn injury,inverse_isa,Second degree burn
Burn injury,inverse_isa,First degree burn
Burn injury,inverse_isa,Burn of tongue
Burn injury,inverse_isa,Burn of the lower limb
Burn injury,inverse_isa,Burn of upper limb
Burn injury,inverse_isa,Burn of axilla
Burn injury,inverse_isa,Burn of neck
Burn injury,inverse_isa,Corneal burn
Burn injury,inverse_isa,Burn of esophagus
Burn injury,inverse_isa,Burns of multiple sites
Burn injury,inverse_isa,Burn of trunk
Burn injury,inverse_isa,Sunburn
Burn injury,inverse_isa,Eye Burns
Burn injury,inverse_isa,Chemical Burns
Burn injury,inverse_isa,Burn of internal organ
Burn injury,nichd_parent_of,Second degree burn
Burn injury,nichd_parent_of,First degree burn
Burn injury,nichd_parent_of,Sunburn
Burn injury,mapped_from,Burns and scalds
Burn injury,associated_with,burn due to localized fire onboard watercraft
Burn injury,cdrh_parent_of,Burn From Lead
Burn injury,cdrh_parent_of,Radiation burn
Burn injury,cdrh_parent_of,Bowel Burn
Burn injury,cdrh_parent_of,Thermal burn
Burn injury,cdrh_parent_of,Third degree burn
Burn injury,cdrh_parent_of,Second degree burn
Burn injury,cdrh_parent_of,First degree burn
Burn injury,cdrh_parent_of,Corneal burn
Burn injury,cdrh_parent_of,Chemical Burns
Burn injury,has_cdrh_parent,Traumatic injury
Burn injury,classifies,Other burn of cornea and conjunctival sac
Burn injury,classifies,"Corrosions of other specified parts of right eye and adnexa, subsequent encounter"
Burn injury,classifies,"Corrosions of other specified parts of right eye and adnexa, initial encounter"
Burn injury,classifies,"Corrosion of left eyelid and periocular area, subsequent encounter"
Burn injury,classifies,"Burns of other specified parts of unspecified eye and adnexa, subsequent encounter"
Burn injury,classifies,"Corrosion of unspecified eye and adnexa, part unspecified, subsequent encounter"
Burn injury,classifies,"Burns of other specified parts of right eye and adnexa, subsequent encounter"
Burn injury,classifies,"Burn of unspecified eyelid and periocular area, sequela"
Burn injury,classifies,"Burn of cornea and conjunctival sac, unspecified eye, subsequent encounter"
Burn injury,classifies,"Burn of unspecified eyelid and periocular area, initial encounter"
Burn injury,classifies,"Corrosions of other specified parts of unspecified eye and adnexa, sequela"
Burn injury,classifies,"Corrosions of other specified parts of unspecified eye and adnexa, subsequent encounter"
Burn injury,classifies,"Corrosions of other specified parts of unspecified eye and adnexa, initial encounter"
Burn injury,classifies,"Burns of other specified parts of unspecified eye and adnexa, initial encounter"
Burn injury,classifies,"Burns of other specified parts of left eye and adnexa, subsequent encounter"
Burn injury,classifies,"Corrosion of right eyelid and periocular area, subsequent encounter"
Burn injury,classifies,"Corrosion of cornea and conjunctival sac, unspecified eye, sequela"
Burn injury,classifies,"Corrosions of other specified parts of left eye and adnexa, sequela"
Burn injury,classifies,"Corrosion of unspecified eyelid and periocular area, initial encounter"
Burn injury,classifies,"Corrosion of unspecified eye and adnexa, part unspecified, initial encounter"
Burn injury,classifies,"Burn of unspecified eye and adnexa, part unspecified, sequela"
Burn injury,classifies,"Corrosion with resulting rupture and destruction of unspecified eyeball, initial encounter"
Burn injury,classifies,"Corrosions of other specified parts of right eye and adnexa, sequela"
Burn injury,classifies,"Burn of cornea and conjunctival sac, unspecified eye, sequela"
Burn injury,classifies,"Burn with resulting rupture and destruction of unspecified eyeball, subsequent encounter"
Burn injury,classifies,"Corrosion of cornea and conjunctival sac, unspecified eye, initial encounter"
Burn injury,classifies,"Burn with resulting rupture and destruction of unspecified eyeball, sequela"
Burn injury,classifies,"Corrosion of cornea and conjunctival sac, unspecified eye, subsequent encounter"
Burn injury,classifies,"Corrosion of unspecified eyelid and periocular area, sequela"
Burn injury,classifies,"Burn of unspecified eye and adnexa, part unspecified, subsequent encounter"
Burn injury,classifies,"Corrosions of other specified parts of left eye and adnexa, subsequent encounter"
Burn injury,classifies,"Burn of unspecified eye and adnexa, part unspecified, initial encounter"
Burn injury,classifies,"Burn of cornea and conjunctival sac, unspecified eye, initial encounter"
Burn injury,classifies,"Burns of other specified parts of left eye and adnexa, sequela"
Burn injury,classifies,"Burn with resulting rupture and destruction of unspecified eyeball, initial encounter"
Burn injury,classifies,"Corrosion with resulting rupture and destruction of unspecified eyeball, subsequent encounter"
Burn injury,classifies,"Burns of other specified parts of right eye and adnexa, sequela"
Burn injury,classifies,"Corrosion of left eyelid and periocular area, sequela"
Burn injury,classifies,"Corrosion with resulting rupture and destruction of unspecified eyeball, sequela"
Burn injury,classifies,"Burn of unspecified eyelid and periocular area, subsequent encounter"
Burn injury,classifies,"Corrosion of unspecified eyelid and periocular area, subsequent encounter"
Burn injury,classifies,"Corrosion of right eyelid and periocular area, sequela"
Burn injury,classifies,"Burns of other specified parts of left eye and adnexa, initial encounter"
Burn injury,classifies,"Corrosion of left eyelid and periocular area, initial encounter"
Burn injury,classifies,"Burns of other specified parts of unspecified eye and adnexa, sequela"
Burn injury,classifies,"Burns of other specified parts of right eye and adnexa, initial encounter"
Burn injury,classifies,"Corrosion of unspecified eye and adnexa, part unspecified, sequela"
Burn injury,classifies,"Corrosions of other specified parts of left eye and adnexa, initial encounter"
Burn injury,classifies,"Corrosion of right eyelid and periocular area, initial encounter"
Burn injury,classifies,Corrosions involving 30-39% of body surface with 10-19% third degree corrosion
Burn injury,classifies,Corrosions involving 60-69% of body surface with 0% to 9% third degree corrosion
Burn injury,classifies,Corrosions involving 60-69% of body surface with 30-39% third degree corrosion
Burn injury,classifies,Corrosions involving 30-39% of body surface with 20-29% third degree corrosion
